endTime,artistName,trackName,msPlayed
2022-01-11 22:20,Alec Benjamin,Water Fountain,218893
2022-01-11 22:21,Show Dem Camp,Tropicana,1130
2022-01-11 22:21,Pop Smoke,Woo Baby (feat. Chris Brown),880
2022-01-11 22:21,Timmies,Loosing Interest,85895
2022-01-11 23:44,Junip,Line of Fire,123180
2022-01-11 23:44,Bad Meets Evil,Lighters,830
2022-01-11 23:47,Sufjan Stevens,Chicago,7144
2022-01-11 23:47,TK from Ling tosite sigure,unravel,40
2022-01-11 23:47,BANNERS,Someone To You,1020
2022-01-11 23:47,Brent Faiyaz,Dead Man Walking,960
2022-01-11 23:47,Tevin Terrell,Be Forreal,870
2022-01-11 23:47,ENNY,Peng Black Girls Remix - A COLORS SHOW,206075
2022-01-11 23:52,Kendrick Lamar,"Bitch, Don’t Kill My Vibe - Remix",278520
2022-01-11 23:55,Nujabes,Beat laments the world,193730
2022-01-12 00:03,Kaiit,Miss Shiney,370
2022-01-12 00:03,Fave,Baby Riddim,390
2022-01-12 00:03,Tate McRae,you broke me first,330
2022-01-12 00:03,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,1220
2022-01-12 00:03,Tems,Free Mind,1440
2022-01-12 00:03,Aycen,White Tee,1780
2022-01-12 00:03,Wizkid,Mood (feat. BNXN),1150
2022-01-12 00:03,Lil Wayne,So Special,0
2022-01-12 00:07,Wizkid,Mood (feat. BNXN),209760
2022-01-12 00:09,Tems,Free Mind,102920
2022-01-12 10:15,Rxseboy,when we were 16,4545
2022-01-12 10:15,BNXN fka Buju,Italy,188395
2022-01-12 10:19,Rxseboy,when we were 16,7794
2022-01-12 10:19,BNXN fka Buju,Italy,188395
2022-01-12 10:24,Rxseboy,when we were 16,24
2022-01-12 10:24,BNXN fka Buju,Italy,188395
2022-01-12 10:27,Rxseboy,when we were 16,794
2022-01-12 10:27,BNXN fka Buju,Italy,188395
2022-01-12 10:33,BNXN fka Buju,Italy,363955
2022-01-12 10:34,Rxseboy,when we were 16,564
2022-01-12 10:37,Rxseboy,when we were 16,1034
2022-01-12 10:37,BNXN fka Buju,Italy,188395
2022-01-12 10:40,Rxseboy,when we were 16,1394
2022-01-12 10:40,BNXN fka Buju,Italy,188395
2022-01-12 10:40,BNXN fka Buju,Italy,31850
2022-01-12 10:44,BNXN fka Buju,Italy,188395
2022-01-12 10:47,BNXN fka Buju,Never Stopped,200708
2022-01-12 10:49,Kizz Daniel,Burn,149126
2022-01-12 10:50,Gunna,south to west,19730
2022-01-12 10:52,Tmaro,All The Time,134698
2022-01-12 10:55,Savage,Confident,185619
